epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5263.32,1.5006,2.14432,1.45531,0.66905,0.45297,0.47892,0.3074,1.18527,1.78322,1.33149,0.000302405,0.000302405,0.000302405
2,9940.34,1.4042,1.32926,1.37749,0.59181,0.53668,0.54317,0.35026,1.28766,1.33658,1.41449,0.00054547,0.00054547,0.00054547
3,38543.7,1.36852,1.09802,1.3579,0.79655,0.48506,0.59788,0.39901,1.09451,1.04645,1.30175,0.000728541,0.000728541,0.000728541
4,43204.8,1.31375,0.97348,1.32372,0.78245,0.51285,0.66274,0.45699,1.05414,0.94376,1.26879,0.000639027,0.000639027,0.000639027
5,48291.4,1.24544,0.88037,1.28341,0.7913,0.60865,0.68522,0.49263,0.98538,0.83114,1.21882,0.000549036,0.000549036,0.000549036
6,97752.4,1.18494,0.80068,1.23859,0.70355,0.72368,0.79058,0.5888,0.92493,0.71472,1.1603,0.000459045,0.000459045,0.000459045
7,102374,1.13276,0.74542,1.20942,0.8819,0.68316,0.82852,0.62689,0.87293,0.67196,1.10953,0.000369054,0.000369054,0.000369054
8,110902,1.09059,0.69986,1.17564,0.7035,0.76447,0.83366,0.6526,0.82583,0.6237,1.08317,0.000279063,0.000279063,0.000279063
9,117081,1.04156,0.65665,1.14682,0.79977,0.80517,0.90343,0.72117,0.78926,0.5969,1.06406,0.000189072,0.000189072,0.000189072
10,123146,0.99724,0.623,1.12404,0.84393,0.84965,0.90747,0.7321,0.76254,0.5547,1.04541,9.9081e-05,9.9081e-05,9.9081e-05
